0,CombatZoneResize,133,251,508,391,TLResume
0,HeartTeleport,320,376,,,
0,HeartMode,0,,,,
0,TLPause,,,,,
0,BoneV,128,256,70,0,200
0,BoneV,113,256,70,0,200
0,BoneV,98,256,70,0,200
0,BoneV,83,256,70,0,200
,,,,,,200
0,BoneV,8,321,65,0,200
0,BoneV,-7,321,65,0,200
0,BoneV,-22,321,65,0,200
0,BoneV,-37,321,65,0,200
,,,,,,200
0,BoneV,508,256,70,2,200
0,BoneV,523,256,70,2,200
0,BoneV,538,256,70,2,200
0,BoneV,553,256,70,2,200
,,,,,,200
0,BoneV,628,321,65,2,200
0,BoneV,643,321,65,2,200
0,BoneV,658,321,65,2,200
0,BoneV,673,321,65,2,200
,,,,,,200
1.2,BoneV,508,256,75,2,200
0,BoneV,523,256,75,2,200
0,BoneV,538,256,75,2,200
0,BoneV,553,256,75,2,200
,,,,,,200
0,BoneV,508,346,40,2,200
0,BoneV,523,346,40,2,200
0,BoneV,538,346,40,2,200
0,BoneV,553,346,40,2,200
,,,,,,200
0,BoneV,128,256,75,0,200
0,BoneV,113,256,75,0,200
0,BoneV,98,256,75,0,200
0,BoneV,83,256,75,0,200
,,,,,,200
0,BoneV,128,346,40,0,200
0,BoneV,113,346,40,0,200
0,BoneV,98,346,40,0,200
0,BoneV,83,346,40,0,200

0.8,BoneV,508,256,40,2,200
0,BoneV,523,256,40,2,200
0,BoneV,538,256,40,2,200
0,BoneV,553,256,40,2,200
,,,,,,200
0,BoneV,508,311,75,2,200
0,BoneV,523,311,75,2,200
0,BoneV,538,311,75,2,200
0,BoneV,553,311,75,2,200
,,,,,,200
0,BoneV,128,256,40,0,200
0,BoneV,113,256,40,0,200
0,BoneV,98,256,40,0,200
0,BoneV,83,256,40,0,200
,,,,,,200
0,BoneV,128,311,75,0,200
0,BoneV,113,311,75,0,200
0,BoneV,98,311,75,0,200
0,BoneV,83,311,75,0,200

1,BoneV,128,256,70,0,200
0,BoneV,113,256,70,0,200
0,BoneV,98,256,70,0,200
0,BoneV,83,256,70,0,200
,,,,,,200
0,BoneV,8,321,65,0,200
0,BoneV,-7,321,65,0,200
0,BoneV,-22,321,65,0,200
0,BoneV,-37,321,65,0,200
,,,,,,200
0,BoneV,508,256,70,2,200
0,BoneV,523,256,70,2,200
0,BoneV,538,256,70,2,200
0,BoneV,553,256,70,2,200
,,,,,,200
0,BoneV,628,321,65,2,200
0,BoneV,643,321,65,2,200
0,BoneV,658,321,65,2,200
0,BoneV,673,321,65,2,200
,,,,,,200
1.2,BoneV,508,256,75,2,200
0,BoneV,523,256,75,2,200
0,BoneV,538,256,75,2,200
0,BoneV,553,256,75,2,200
,,,,,,200
0,BoneV,508,346,40,2,200
0,BoneV,523,346,40,2,200
0,BoneV,538,346,40,2,200
0,BoneV,553,346,40,2,200
,,,,,,200
0,BoneV,128,256,75,0,200
0,BoneV,113,256,75,0,200
0,BoneV,98,256,75,0,200
0,BoneV,83,256,75,0,200
,,,,,,200
0,BoneV,128,346,40,0,200
0,BoneV,113,346,40,0,200
0,BoneV,98,346,40,0,200
0,BoneV,83,346,40,0,200

0.8,BoneV,508,256,40,2,200
0,BoneV,523,256,40,2,200
0,BoneV,538,256,40,2,200
0,BoneV,553,256,40,2,200
,,,,,,200
0,BoneV,508,311,75,2,200
0,BoneV,523,311,75,2,200
0,BoneV,538,311,75,2,200
0,BoneV,553,311,75,2,200
,,,,,,200
0,BoneV,128,256,40,0,200
0,BoneV,113,256,40,0,200
0,BoneV,98,256,40,0,200
0,BoneV,83,256,40,0,200
,,,,,,200
0,BoneV,128,311,75,0,200
0,BoneV,113,311,75,0,200
0,BoneV,98,311,75,0,200
0,BoneV,83,311,75,0,200

1,BoneV,128,256,70,0,200
0,BoneV,113,256,70,0,200
0,BoneV,98,256,70,0,200
0,BoneV,83,256,70,0,200
,,,,,,200
0,BoneV,8,321,65,0,200
0,BoneV,-7,321,65,0,200
0,BoneV,-22,321,65,0,200
0,BoneV,-37,321,65,0,200
,,,,,,200
0,BoneV,508,256,70,2,200
0,BoneV,523,256,70,2,200
0,BoneV,538,256,70,2,200
0,BoneV,553,256,70,2,200
,,,,,,200
0,BoneV,628,321,65,2,200
0,BoneV,643,321,65,2,200
0,BoneV,658,321,65,2,200
0,BoneV,673,321,65,2,200
,,,,,,200
1.2,BoneV,508,256,75,2,200
0,BoneV,523,256,75,2,200
0,BoneV,538,256,75,2,200
0,BoneV,553,256,75,2,200
,,,,,,200
0,BoneV,508,346,40,2,200
0,BoneV,523,346,40,2,200
0,BoneV,538,346,40,2,200
0,BoneV,553,346,40,2,200
,,,,,,200
0,BoneV,128,256,75,0,200
0,BoneV,113,256,75,0,200
0,BoneV,98,256,75,0,200
0,BoneV,83,256,75,0,200
,,,,,,200
0,BoneV,128,346,40,0,200
0,BoneV,113,346,40,0,200
0,BoneV,98,346,40,0,200
0,BoneV,83,346,40,0,200

0.8,BoneV,508,256,40,2,200
0,BoneV,523,256,40,2,200
0,BoneV,538,256,40,2,200
0,BoneV,553,256,40,2,200
,,,,,,200
0,BoneV,508,311,75,2,200
0,BoneV,523,311,75,2,200
0,BoneV,538,311,75,2,200
0,BoneV,553,311,75,2,200
,,,,,,200
0,BoneV,128,256,40,0,200
0,BoneV,113,256,40,0,200
0,BoneV,98,256,40,0,200
0,BoneV,83,256,40,0,200
,,,,,,200
0,BoneV,128,311,75,0,200
0,BoneV,113,311,75,0,200
0,BoneV,98,311,75,0,200
0,BoneV,83,311,75,0,200

3,EndAttack,,,,,
