0,CombatZoneResize,121,186,526,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0.4,SET,Loop,12,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,rnd,初始坐标x,640,,,,,,
0,rnd,初始坐标y,480,,,,,,
0,rnd,最终坐标x,640,,,,,,
0,rnd,最终坐标y,480,,,,,,
0,rnd,初始坐标x1,640,,,,,,
0,rnd,初始坐标y1,480,,,,,,
0,rnd,最终坐标x1,640,,,,,,
0,rnd,最终坐标y1,480,,,,,,
0,rnd,初始坐标x2,640,,,,,,
0,rnd,初始坐标y2,480,,,,,,
0,rnd,最终坐标x2,640,,,,,,
0,rnd,最终坐标y2,480,,,,,,
0,ANGLE,Ang,$最终坐标x,$最终坐标y,$HeartX,$HeartY,,,
0,ANGLE,Ang1,$最终坐标x1,$最终坐标y1,$HeartX,$HeartY,,,
0,ANGLE,Ang2,$最终坐标x2,$最终坐标y2,$HeartX,$HeartY,,,
0,gasterblaster,1,$初始坐标x,$初始坐标y,$最终坐标x,$最终坐标y,$Ang,0.4,0.2
0.8,JMPNZ,6,$Loop,,,,,,
2,EndAttack,,,,,,,,
