0,SET,Loop,10,,,,,,,,,,
0,SUB,Loop,$Loop,1,,,,,,,,,
0,rnd,sb,18,,,,,,,,,,
0,jmpe,49,$sb,1,,,,,,,,,
0,jmpe,81,$sb,2,,,,,,,,,
0,jmpe,104,$sb,3,,,,,,,,,
0,jmpe,137,$sb,4,,,,,,,,,
0,jmpe,150,$sb,5,,,,,,,,,
0,jmpe,163,$sb,6,,,,,,,,,
0,jmpe,176,$sb,7,,,,,,,,,
0,jmpe,188,$sb,8,,,,,,,,,
0,jmpe,199,$sb,9,,,,,,,,,
0,jmpe,213,$sb,10,,,,,,,,,
0,jmpe,225,$sb,11,,,,,,,,,
0,jmpe,257,$sb,12,,,,,,,,,
0,jmpe,290,$sb,13,,,,,,,,,
0,jmpe,302,$sb,14,,,,,,,,,
0,jmpe,331,$sb,15,,,,,,,,,
0,jmpe,360,$sb,16,,,,,,,,,
0,jmpe,370,$sb,17,,,,,,,,,
¹¥»÷1,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,sansx,220,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,,,,,
0,HeartTeleport,320,324,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,

0,rnd,h,3,,,,,,,,,,
0,JMPNE,43,$h,0,,,,,,,,,
0,rnd,i,3,,,,,,,,,,
0,JMPNE,43,$i,0,,,,,,,,,
0,rnd,j,3,,,,,,,,,,
0,JMPNE,43,$j,0,,,,,,,,,
0,rnd,k,3,,,,,,,,,,
0,JMPNE,43,$k,0,,,,,,,,,
0,rnd,l,3,,,,,,,,,,
0,JMPNE,43,$l,0,,,,,,,,,

0,set,l,1,,,,,,,,,,

0,GasterBlaster,0,266,186,266,186,90,0.8,0.4,$h,,,
0,GasterBlaster,0,296,431,296,431,270,0.8,0.4,$i,,,
0,GasterBlaster,0,326,186,326,186,90,0.8,0.4,$j,,,
0,GasterBlaster,0,356,431,356,431,270,0.8,0.4,$k,,,
0,GasterBlaster,0,386,186,386,186,90,0.8,0.4,$l,,,
2,jmpabs,380,,,,,,,,,,,
¹¥»÷2,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,,,,,
0,HeartTeleport,320,324,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,
0,rnd,a,2,,,,,,,,,,
0,add,a,$a,1,,,,,,,,,
0,JMPNE,73,$a,0,,,,,,,,,
0,rnd,b,2,,,,,,,,,,
0,add,b,$b,1,,,,,,,,,
0,JMPNE,73,$b,0,,,,,,,,,
0,rnd,c,2,,,,,,,,,,
0,add,c,$c,1,,,,,,,,,
0,JMPNE,73,$c,0,,,,,,,,,
0,rnd,d,2,,,,,,,,,,
0,add,d,$d,1,,,,,,,,,
0,JMPNE,73,$d,0,,,,,,,,,
0,rnd,e,2,,,,,,,,,,
0,add,e,$e,1,,,,,,,,,
0,JMPNE,73,$e,0,,,,,,,,,
0,set,e,2,,,,,,,,,,

0,GasterBlaster,0,201,251,201,251,0,0.8,0.4,$a,,,
0,GasterBlaster,0,404,281,404,281,180,0.8,0.4,$b,,,
0,GasterBlaster,0,201,311,201,311,0,0.8,0.4,$c,,,
0,GasterBlaster,0,404,341,404,341,180,0.8,0.4,$d,,,
