0,CombatZoneResize,241,226,406,391,TLResume,,,,,,,
0,HeartTeleport,320,304,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,
0,TLPause,,,,,,,,,,,,
0.4,SansBody,HandUp,,,,,,,,,,,
0,SansSlam,3,,,,,,,,,,,
0,BoneStab,3,30,0.4,7.8,,,,,,,,
0.8,SansBody,Handdown,,,,,,,,,,,
0,SansSlam,1,,,,,,,,,,,
0,BoneStab,1,30,0.4,7,,,,,,,,
0.4,SansAnimation,Idle,,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,
0,sound,ding,,,,,,,,,,,
0,GasterBlaster,2,320,0,320,126,90,0.2,0.4,0,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,GJ2,,,,,,,,,,,,
1.4,GetHeartpos,HeartX,HeartY,,,,,,,,,,
0,SUB,HeartX,$HeartX,200,,,,,,,,,
0,GasterBlaster,1,0,0,$HeartX,$HeartY,45,0.6,0.2,,-80,,
0,GetHeartpos,HeartX,HeartY,,,,,,,,,,
0,SUB,HeartY,$HeartY,200,,,,,,,,,
0,GasterBlaster,1,0,0,$HeartX,$HeartY,135,0.6,0.2,,-80,,
0,GetHeartpos,HeartX,HeartY,,,,,,,,,,
0,ADD,HeartX,$HeartX,200,,,,,,,,,
0,GasterBlaster,1,0,0,$HeartX,$HeartY,225,0.6,0.2,,-80,,
0,GetHeartpos,HeartX,HeartY,,,,,,,,,,
0,ADD,HeartY,$HeartY,200,,,,,,,,,
0,GasterBlaster,1,0,0,$HeartX,$HeartY,315,0.6,0.2,,-80,,
1.4,GJ2,,,,,,,,,,,,
1.4,GetHeartpos,HeartX,HeartY,,,,,,,,,,
0,SUB,HeartX,$HeartX,200,,,,,,,,,
0,GasterBlaster,1,0,0,$HeartX,$HeartY,45,0.6,0.2,,-80,,
0,GetHeartpos,HeartX,HeartY,,,,,,,,,,
0,SUB,HeartY,$HeartY,200,,,,,,,,,
0,GasterBlaster,1,0,0,$HeartX,$HeartY,135,0.6,0.2,,-80,,
0,GetHeartpos,HeartX,HeartY,,,,,,,,,,
0,ADD,HeartX,$HeartX,200,,,,,,,,,
0,GasterBlaster,1,0,0,$HeartX,$HeartY,225,0.6,0.2,,-80,,
0,GetHeartpos,HeartX,HeartY,,,,,,,,,,
0,ADD,HeartY,$HeartY,200,,,,,,,,,
0,GasterBlaster,1,0,0,$HeartX,$HeartY,315,0.6,0.2,,-80,,
,,,,,,,,,,,,,
2.2,SansBody,Handup,,,,,,,,,,,
0.2,SansSlam,3,,,,,,,,,,,
0.3,SansBody,Handdown,,,,,,,,,,,
0.2,HeartMaxFallSpeed,450,,,,,,,,,,,
0,SansSlam,1,,,,,,,,,,,
0,CombatZoneResizeInstant,241,226,406,970,,,,,,,,
0,CombatZoneSpeed,900,,,,,,,,,,,
0.1,scrollY,1,720,0.08,,,,,,,,,
0,CombatZoneResize,241,226,406,970,,,,,,,,
0,CombatZoneSpeed,900,,,,,,,,,,,
0.33333,HeartMaxFallSpeed,100,,,,,,,,,,,
0,SansAnimation,Idle,,,,,,,,,,,
0.3,CombatZoneSpeed,30,,,,,,,,,,,
0,CombatZoneResize,251,226,396,970,,,,,,,,
,,,,,,,,,,,,,
0.9,GetHeartPos,HeartX,HeartY,,,,,,,,,,
0,HeartTeleport,$HeartX,560,,,,,,,,,,
0,HeartMaxFallSpeed,0,,,,,,,,,,,
0,SansSlam,1,,,,,,,,,,,
0.2,HeartMaxFallSpeed,10,,,,,,,,,,,
0,BoneHRepeat,256,970,30,3,300,4,275,,,,,3
0,BoneHRepeat,356,970,35,3,300,4,275,,,,,3
0,BoneHRepeat,256,985,35,3,300,4,275,,,,,3
0,BoneHRepeat,351,985,40,3,300,4,275,,,,,3
0,BoneHRepeat,256,1000,40,3,300,4,275,,,,,3
0,BoneHRepeat,346,1000,45,3,300,4,275,,,,,3
0,BoneHRepeat,256,1015,45,3,300,4,275,,,,,3
0,BoneHRepeat,341,1015,50,3,300,4,275,,,,,3
0,BoneHRepeat,256,1030,50,3,300,4,275,,,,,3
0,BoneHRepeat,336,1030,55,3,300,4,275,,,,,3
0,BoneHRepeat,256,1045,55,3,300,4,275,,,,,3
0,BoneHRepeat,331,1045,60,3,300,4,275,,,,,3
,,,,,,,,,,,,,
0.06,BoneHRepeat,305,1090,30,3,300,4,275,,,,,3
0,BoneHRepeat,300,1105,40,3,300,4,275,,,,,3
0,BoneHRepeat,295,1120,50,3,300,4,275,,,,,3
0,BoneHRepeat,290,1135,60,3,300,4,275,,,,,3
0,BoneHRepeat,285,1150,70,3,300,4,275,,,,,3
0,BoneHRepeat,280,1165,80,3,300,4,275,,,,,3
0,BoneHRepeat,275,1180,90,3,300,4,275,,,,,3
,,,,,,,,,,,,,
4,HeartMaxFallSpeed,20,,,,,,,,,,,
0,rnd,sbb,2,,,,,,,,,,
0,add,sbb,$sbb,1,,,,,,,,,
0,BoneHRepeat,256,970,135,3,350,,,$sbb,,,,
0,GasterBlaster,2,321,990,321,870,270,1.4,0.22666,,,,
0.3,rnd,sbb,2,,,,,,,,,,
0,add,sbb,$sbb,1,,,,,,,,,
0,BoneHRepeat,256,970,135,3,350,,,$sbb,,,,
,,,,,,,,,,,,,
0.3,rnd,sbb,2,,,,,,,,,,
0,add,sbb,$sbb,1,,,,,,,,,
0,BoneHRepeat,256,970,135,3,350,,,$sbb,,,,
