0,CombatZoneResize,133,251,508,391,TLResume,
0,HeartTeleport,320,376,,,,
0,HeartMode,1,,,,,
0,TLPause,,,,,,
0,rnd,speed,50,,,,
0,add,speed,$speed,125,,,
0,BoneV,128,256,130,0,$speed,1
0,BoneV,88,256,75,0,$speed,
0,BoneV,88,361,25,0,$speed,
0,BoneV,48,256,130,0,$speed,2

1.2,rnd,speed,50,,,,
0,add,speed,$speed,125,,,
0,BoneV,513,256,130,2,$speed,1
0,BoneV,553,256,75,2,$speed,
0,BoneV,553,361,25,2,$speed,
0,BoneV,593,256,130,2,$speed,2

1.2,rnd,speed,50,,,,
0,add,speed,$speed,125,,,
0,BoneV,128,256,130,0,$speed,1
0,BoneV,88,256,75,0,$speed,
0,BoneV,88,361,25,0,$speed,
0,BoneV,48,256,130,0,$speed,2

1.2,rnd,speed,50,,,,
0,add,speed,$speed,125,,,
0,BoneV,513,256,130,2,$speed,1
0,BoneV,553,256,75,2,$speed,
0,BoneV,553,361,25,2,$speed,
0,BoneV,593,256,130,2,$speed,2

1.2,rnd,speed,50,,,,
0,add,speed,$speed,125,,,
0,BoneV,128,256,130,0,$speed,1
0,BoneV,88,256,75,0,$speed,
0,BoneV,88,361,25,0,$speed,
0,BoneV,48,256,130,0,$speed,2

1.2,rnd,speed,50,,,,
0,add,speed,$speed,125,,,
0,BoneV,513,256,130,2,$speed,1
0,BoneV,553,256,75,2,$speed,
0,BoneV,553,361,25,2,$speed,
0,BoneV,593,256,130,2,$speed,2

1.2,rnd,speed,50,,,,
0,add,speed,$speed,125,,,
0,BoneV,128,256,130,0,$speed,1
0,BoneV,88,256,75,0,$speed,
0,BoneV,88,361,25,0,$speed,
0,BoneV,48,256,130,0,$speed,2


3,EndAttack,,,,,,
