0,CombatZoneResize,133,251,508,391,TLResume,,,,,,,
0,HeartTeleport,320,376,,,,,,,,,,
0,HeartMode,1,,,,,,,,,,,
0,TLPause,,,,,,,,,,,,
0,bone,113,391,60,0,150,10,0,,,,,
0,bone,113,297,82,0,150,-10,0,,,,,
0,bone,63,321,130,0,155,-15,2,,,,,
0,bone,13,321,130,0,155,-15,1,,,,,
0.8,bone,528,301,90,180,200,132,0,0,2,3,2,
0,bone,528,301,90,180,200,132,0,90,2,3,2,
0.4,bone,528,301,90,180,200,132,0,0,2,3,2,
0,bone,528,301,90,180,200,132,0,90,2,3,2,
0.4,bone,528,301,90,180,200,132,0,0,2,3,2,
0,bone,528,301,90,180,200,132,0,90,2,3,2,
,,,,,,,,,,,,,
0,GasterBlaster,1,999,999,558,366,180,1,0.26666,,,,
,,,,,,,,,,,,,
2.2,BoneVRepeat,128,257,85,0,220,4,15,,,,,0
0,BoneVRepeat,128,366,20,0,220,4,15,,,,,0
0,BoneVRepeat,503,257,85,2,220,4,15,,,,,2
0,BoneVRepeat,503,366,20,2,220,4,15,,,,,2
,,,,,,,,,,,,,
0,bone,-22,371,40,0,220,50,,,,,,
,,,,,,,,,,,,,
0,bone,-22,290,80,0,220,80,,0,,,,
0,bone,-22,290,80,0,220,90,,90,,,,
,,,,,,,,,,,,,
0,bone,653,371,40,180,220,-50,,,,,,
,,,,,,,,,,,,,
0,bone,653,290,80,180,220,-80,,0,,,,
0,bone,653,290,80,180,220,-80,,90,,,,
,,,,,,,,,,,,,
1.5,BoneVRepeat,503,351,35,2,160,,,2,,,,2
0,BoneVRepeat,503,256,95,2,160,,,,,,,2
0,BoneVRepeat,553,256,75,2,160,,,2,,,,2
0,BoneVRepeat,553,326,60,2,160,,,,,,,2
1.2,BoneVRepeat,113,351,35,0,160,,,2,,,,0
0,BoneVRepeat,113,256,95,0,160,,,,,,,0
0,BoneVRepeat,63,256,75,0,160,,,2,,,,0
0,BoneVRepeat,63,326,60,0,160,,,,,,,0
,,,,,,,,,,,,,
1.9,bone,508,391,60,180,150,-10,0,,,,,
0,bone,508,297,82,180,150,10,0,,,,,
0,bone,558,321,130,180,155,15,2,,,,,
0,bone,608,321,130,180,155,15,1,,,,,
,,,,,,,,,,,,,
0.8,bone,113,301,90,0,200,132,0,0,2,3,2,
0,bone,113,301,90,0,200,132,0,90,2,3,2,
0.4,bone,113,301,90,0,200,132,0,0,2,3,2,
0,bone,113,301,90,0,200,132,0,90,2,3,2,
0.4,bone,113,301,90,0,200,132,0,0,2,3,2,
0,bone,113,301,90,0,200,132,0,90,2,3,2,
2,endattack,,,,,,,,,,,,
