0,SET,Loop,6,,,,,,,,,,
0,SUB,Loop,$Loop,1,,,,,,,,,
0,rnd,sb,9,,,,,,,,,,
0,jmpe,27,$sb,1,,,,,,,,,
0,jmpe,39,$sb,2,,,,,,,,,
0,jmpe,77,$sb,3,,,,,,,,,
0,jmpe,113,$sb,4,,,,,,,,,
0,jmpe,127,$sb,5,,,,,,,,,
0,jmpe,158,$sb,6,,,,,,,,,
0,jmpe,187,$sb,7,,,,,,,,,
0,jmpe,197,$sb,8,,,,,,,,,
,,,,,,,,,,,,,
¹¥»÷10,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,sansx,220,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeInstant,121,276,160,391,,,,,,,,
0,SineBones,40,10,0,25,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,,,,,
0,HeartTeleport,140,306,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,
0.6,BoneVRepeat,111,281,105,0,100,15,15,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3.6,jmpabs,207,,,,,,,,,,,
¹¥»÷11,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeInstant,486,276,526,391,,,,,,,,
0,SineBones,40,-10,0,25,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,,,,,
0,HeartTeleport,516,306,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,
0.6,BoneVRepeat,536,281,105,2,100,15,15,,,,,2
,,,,,,,,,,,,,
3.6,jmpabs,207,,,,,,,,,,,
¹¥»÷12,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeInstant,239,126,404,391,,,,,,,,
0,HeartTeleport,259,204,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,
0,SansSlam,2,,,,,,,,,,,
0,BoneH2,279,391,120,3,140,,,,,,,
0,BoneH2,279,491,120,3,140,,,,,,,
0,BoneH2,279,591,120,3,140,,,,,,,
0,BoneH2,279,691,120,3,140,,,,,,,
0,BoneH2,279,791,120,3,140,,,,,,,
0,BoneH2,279,891,120,3,140,,,,,,,
0,BoneH2,279,991,120,3,140,,,,,,,
0,BoneH2,279,1091,120,3,140,,,,,,,
0,BoneH2,279,1191,120,3,140,,,,,,,
0,BoneH2,279,1291,120,3,140,,,,,,,
,,,,,,,,,,,,,
0.2,BoneH2,246,121,35,1,150,,,,,,,
0,BoneH2,246,51,35,1,150,,,,,,,
0,BoneH2,246,-19,35,1,150,,,,,,,
0,BoneH2,246,-89,35,1,150,,,,,,,
0,BoneH2,246,-159,35,1,150,,,,,,,
0,BoneH2,246,-229,35,1,150,,,,,,,
0,BoneH2,246,-299,35,1,150,,,,,,,
0,BoneH2,246,-369,35,1,150,,,,,,,
0,BoneH2,246,-439,35,1,150,,,,,,,
0,BoneH2,246,-509,35,1,150,,,,,,,
0,BoneH2,246,-579,35,1,150,,,,,,,
0,BoneH2,246,-649,35,1,150,,,,,,,
0,BoneH2,246,-719,35,1,150,,,,,,,
0,BoneH2,246,-789,35,1,150,,,,,,,
0,BoneH2,246,-859,35,1,150,,,,,,,
0,BoneH2,246,-929,35,1,150,,,,,,,
0,BoneH2,246,-999,35,1,150,,,,,,,
,,,,,,,,,,,,,
2,jmpabs,207,,,,,,,,,,,
¹¥»÷13,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeInstant,239,126,404,391,,,,,,,,
0,HeartTeleport,384,204,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,
0,SansSlam,0,,,,,,,,,,,
0,BoneH2,246,121,120,1,140,,,,,,,
0,BoneH2,246,21,120,1,140,,,,,,,
0,BoneH2,246,-79,120,1,140,,,,,,,
0,BoneH2,246,-179,120,1,140,,,,,,,
0,BoneH2,246,-279,120,1,140,,,,,,,
0,BoneH2,246,-379,120,1,140,,,,,,,
0,BoneH2,246,-479,120,1,140,,,,,,,
0,BoneH2,246,-579,120,1,140,,,,,,,
0,BoneH2,246,-679,120,1,140,,,,,,,
0,BoneH2,246,-779,120,1,140,,,,,,,
,,,,,,,,,,,,,
0.2,BoneH2,364,391,35,3,150,,,,,,,
0,BoneH2,364,461,35,3,150,,,,,,,
0,BoneH2,364,531,35,3,150,,,,,,,
0,BoneH2,364,601,35,3,150,,,,,,,
