0,SET,Loop,6,Ñ­»·8´Î,,,,,,,
0,SUB,Loop,$Loop,1,,,,,,,
0,rnd,sb,9,,,,,,,,
0,jmpe,42,$sb,1,,,,,,,
0,jmpe,74,$sb,2,,,,,,,
0,jmpe,90,$sb,3,,,,,,,
0,jmpe,157,$sb,4,,,,,,,
0,jmpe,172,$sb,5,,,,,,,
0,jmpe,193,$sb,6,,,,,,,
0,jmpe,206,$sb,7,,,,,,,
0,jmpe,220,$sb,8,,,,,,,
¹¥»÷1,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,
0,sansx,220,,,,,,,,,
0,Sound,Flash,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,,,
0,HeartTeleport,320,324,,,,,,,,
0,HeartMode,0,,,,,,,,,
,,,,,,,,,,,
0,rnd,h,3,,,,,,,,
0,JMPNE,34,$h,0,,,,,,,
0,rnd,i,3,,,,,,,,
0,JMPNE,34,$i,0,,,,,,,
0,rnd,j,3,,,,,,,,
0,JMPNE,34,$j,0,,,,,,,
0,rnd,k,3,,,,,,,,
0,JMPNE,34,$k,0,,,,,,,
0,rnd,l,3,,,,,,,,
0,JMPNE,34,$l,0,,,,,,,
,,,,,,,,,,,
0,set,l,1,,,,,,,,
,,,,,,,,,,,
0,GasterBlaster,0,266,186,266,186,90,0.8,0.4,$h,
0,GasterBlaster,0,296,431,296,431,270,0.8,0.4,$i,
0,GasterBlaster,0,326,186,326,186,90,0.8,0.4,$j,
0,GasterBlaster,0,356,431,356,431,270,0.8,0.4,$k,
0,GasterBlaster,0,386,186,386,186,90,0.8,0.4,$l,
0,GasterBlaster,1,139,306,139,306,0,0.8,0.4,,
0,GasterBlaster,1,499,306,499,306,180,0.8,0.4,,
2,jmpabs,232,,,,,,,,,
¹¥»÷2,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,
0,Sound,Flash,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,,,
0,HeartTeleport,320,324,,,,,,,,
0,HeartMode,0,,,,,,,,,
0,rnd,h,3,,,,,,,,
0,JMPNE,60,$h,0,,,,,,,
0,rnd,i,3,,,,,,,,
0,JMPNE,60,$i,0,,,,,,,
0,rnd,j,3,,,,,,,,
0,JMPNE,60,$j,0,,,,,,,
0,rnd,k,3,,,,,,,,
0,JMPNE,60,$k,0,,,,,,,
0,rnd,l,3,,,,,,,,
0,JMPNE,60,$l,0,,,,,,,
,,,,,,,,,,,
0,GasterBlaster,0,201,251,201,251,0,0.8,0.4,$h,
0,GasterBlaster,0,404,281,404,281,180,0.8,0.4,$i,
0,GasterBlaster,0,201,311,201,311,0,0.8,0.4,$j,
0,GasterBlaster,0,404,341,404,341,180,0.8,0.4,$k,
0,GasterBlaster,0,201,371,201,371,0,0.8,0.4,$l,
0,GasterBlaster,1,249,166,249,166,90,0.8,0.4,,
0,GasterBlaster,1,389,448,389,448,270,0.8,0.4,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2,jmpabs,232,,,,,,,,,
¹¥»÷3,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,
0,Sound,Flash,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,
0,CombatZoneResizeInstant,143,231,518,391,,,,,,
0,HeartTeleport,320,276,,,,,,,,
0,HeartMode,0,,,,,,,,,
0,BoneVRepeat,528,366,40,0,0,30,15,,,
0,RND,SB,295,,,,,,,,
0,ADD,SB,$SB,163,,,,,,,
0,PurplePlatform,$SB,336,30,0,0,1,,,,
0,PurplePlatform,320,296,45,2,160,1,,,,
0,PurplePlatform,320,296,45,0,160,1,,,,
0,BoneStab,3,50,1.4,1,,,,,,
1.4,SansSlam,1,,,,,,,,,
0.4,jmpabs,232,,,,,,,,,
¹¥»÷4,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,
0,Sound,Flash,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,
0,CombatZoneResizeInstant,143,231,518,391,,,,,,
0,HeartTeleport,320,304,,,,,,,,
0,HeartMode,0,,,,,,,,,
0,rnd,sb,3,,,,,,,,
0,BoneVRepeat,498,346,40,0,0,,,$sb,,
0,rnd,sb,3,,,,,,,,
0,BoneVRepeat,483,346,40,0,0,,,$sb,,
0,rnd,sb,3,,,,,,,,
0,BoneVRepeat,468,346,40,0,0,,,$sb,,
0,rnd,sb,3,,,,,,,,
0,BoneVRepeat,453,346,40,0,0,,,$sb,,
0,rnd,sb,3,,,,,,,,
0,BoneVRepeat,438,346,40,0,0,,,$sb,,
0,rnd,sb,3,,,,,,,,
