0,CombatZoneResize,241,226,406,391,,,
0,HeartTeleport,320,304,,,,,
0,SET,Loop,10,,,,,
0,SUB,Loop,$Loop,1,,,,
0,rnd,sb,7,,,,,
0,jmpe,24,$sb,1,,,,
0,jmpe,35,$sb,2,,,,
0,jmpe,46,$sb,3,,,,
0,jmpe,57,$sb,3,,,,
0,jmpe,68,$sb,4,,,,
0,jmpe,79,$sb,5,,,,
0,jmpe,90,$sb,6,,,,
,,,,,,,,
1.3,SansSlam,0,,,,,,
0,sansbody,handright,,,,,,
0,rnd,sb,40,,,,,
0,add,sb,$sb,60,,,,
0,set,sb2,160,,,,,
0,sub,sb2,$sb2,$sb,,,,
0,BoneStab,0,35,0.75,0.3,0,,
0,BoneStabRepeat,3,$sb,0.75,0.4,241,9,2
0,BoneStabRepeat,1,$sb2,0.75,0.4,241,9,1
0,jmpabs,101,,,,,,

1.3,SansSlam,0,,,,,,
0,sansbody,handright,,,,,,
0,rnd,sb,40,,,,,
0,add,sb,$sb,60,,,,
0,set,sb2,160,,,,,
0,sub,sb2,$sb2,$sb,,,,
0,BoneStab,0,35,0.75,0.3,0,,
0,BoneStabRepeat,3,$sb,0.75,0.4,241,9,1
0,BoneStabRepeat,1,$sb2,0.75,0.4,241,9,2
0,jmpabs,101,,,,,,

1.3,SansSlam,2,,,,,,
0,sansbody,handleft,,,,,,
0,rnd,sb,40,,,,,
0,add,sb,$sb,60,,,,
0,set,sb2,160,,,,,
0,sub,sb2,$sb2,$sb,,,,
0,BoneStab,2,35,0.75,0.3,0,,
0,BoneStabRepeat,1,$sb,0.75,0.4,281,9,2
0,BoneStabRepeat,3,$sb2,0.75,0.4,281,9,1
0,jmpabs,101,,,,,,

1.3,SansSlam,2,,,,,,
0,sansbody,handleft,,,,,,
0,rnd,sb,40,,,,,
0,add,sb,$sb,60,,,,
0,set,sb2,160,,,,,
0,sub,sb2,$sb2,$sb,,,,
0,BoneStab,2,35,0.75,0.3,0,,
0,BoneStabRepeat,1,$sb,0.75,0.4,281,9,1
0,BoneStabRepeat,3,$sb2,0.75,0.4,281,9,2
0,jmpabs,101,,,,,,

1.3,SansSlam,3,,,,,,
0,sansbody,handup,,,,,,
0,rnd,sb,40,,,,,
0,add,sb,$sb,60,,,,
0,set,sb2,160,,,,,
0,sub,sb2,$sb2,$sb,,,,
0,BoneStab,3,35,0.75,0.3,0,,
0,BoneStabRepeat,2,$sb,0.75,0.4,266,9,2
0,BoneStabRepeat,0,$sb2,0.75,0.4,266,9,1
0,jmpabs,101,,,,,,

1.3,SansSlam,3,,,,,,
0,sansbody,handup,,,,,,
0,rnd,sb,40,,,,,
0,add,sb,$sb,60,,,,
0,set,sb2,160,,,,,
0,sub,sb2,$sb2,$sb,,,,
0,BoneStab,3,35,0.75,0.3,0,,
0,BoneStabRepeat,2,$sb,0.75,0.4,266,9,1
0,BoneStabRepeat,0,$sb2,0.75,0.4,266,9,2
0,jmpabs,101,,,,,,

1.3,SansSlam,1,,,,,,
0,sansbody,handdown,,,,,,
0,rnd,sb,40,,,,,
0,add,sb,$sb,60,,,,
0,set,sb2,160,,,,,
0,sub,sb2,$sb2,$sb,,,,
0,BoneStab,1,35,0.75,0.3,0,,
0,BoneStabRepeat,2,$sb,0.75,0.4,226,9,2
0,BoneStabRepeat,0,$sb2,0.75,0.4,226,9,1
0,jmpabs,101,,,,,,

1.3,SansSlam,1,,,,,,
0,sansbody,handdown,,,,,,
0,rnd,sb,40,,,,,
0,add,sb,$sb,60,,,,
0,set,sb2,160,,,,,
0,sub,sb2,$sb2,$sb,,,,
0,BoneStab,1,35,0.75,0.3,0,,
0,BoneStabRepeat,2,$sb,0.75,0.4,226,9,1
0,BoneStabRepeat,0,$sb2,0.75,0.4,226,9,2
0,jmpabs,101,,,,,,
0,JMPNZ,4,$Loop,,,,,
1.3,endattack,,,,,,,
